Designator,Mid X,Mid Y,Rotation,Layer
C1,105.725,-105.75,270.0,bottom
C10,99.825,-77.4,270.0,bottom
C11,85.223434,-109.532042,90.0,bottom
C12,83.125,-109.612502,90.0,bottom
C13,77.562504,-116.925,180.0,bottom
C14,100.0125,-97.975,0.0,bottom
C15,100.0,-95.525,0.0,bottom
C2,108.712496,-104.725,180.0,bottom
C3,117.7125,-100.55,0.0,bottom
C4,87.3125,-109.537502,90.0,bottom
C5,89.325,-109.55,90.0,bottom
C6,91.425,-109.562502,90.0,bottom
C7,106.425,-75.5,180.0,bottom
C8,103.425,-76.275,270.0,bottom
C9,68.949998,-76.262498,270.0,bottom
D1,102.35,-82.375,180.0,bottom
D15,108.035,-77.3,0.0,bottom
D2,103.7,-84.725,90.0,bottom
D3,105.224998,-89.44,270.0,bottom
D4,105.199998,-92.39,90.0,bottom
D5,110.75,-99.625,0.0,top
D7,58.5875,-100.075,0.0,top
J1,113.225,-87.675,270.0,bottom
J2,85.124999,-129.125002,180.0,bottom
J3,59.05,-89.875,0.0,bottom
J4,105.282541,-118.25679,310.0,bottom
M1,67.425,-89.025,0.0,bottom
Q1,91.375,-130.525,0.0,bottom
R1,101.65,-85.575,90.0,bottom
R10,66.087499,-75.600001,180.0,bottom
R11,102.4625,-80.475,0.0,bottom
R12,93.799999,-111.4375,270.0,bottom
R13,96.925,-110.375,90.0,bottom
R14,95.35,-110.925,90.0,bottom
R15,81.275,-118.6,180.0,bottom
R16,87.775001,-98.6625,90.0,bottom
R17,86.175,-98.35,90.0,bottom
R2,102.599999,-88.725001,0.0,bottom
R3,105.425,-78.45,90.0,bottom
R4,101.650001,-75.925,90.0,bottom
R5,67.775,-73.525,0.0,bottom
R6,104.125,-73.6,180.0,bottom
R7,89.15,-99.475,270.0,bottom
R8,84.775,-98.75,270.0,bottom
R9,117.95,-105.45,0.0,bottom
SW1,99.45,-72.3,0.0,bottom
SW2,72.4375,-72.325,0.0,bottom
SW3,59.575,-109.15,0.0,top
SW4,110.825,-107.65,0.0,top
SW5,73.9125,-100.825,0.0,bottom
U1,99.325,-102.524997,0.0,bottom
U2,86.125,-80.75,0.0,bottom
U3,86.3375,-102.075,0.0,bottom
U4,70.75,-106.75,0.0,bottom
